Format Version,1.25,Take Name,Take 2026-01-05 06.23.38 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-01-05 06.23.39.046 下午,Capture Start Frame,526605,Total Frames in Take,2426,Total Exported Frames,2426,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker
,Name,Unlabeled 1175,Unlabeled 1175,Unlabeled 1175
,ID,"22B:C34CB1E4EA1611F0","22B:C34CB1E4EA1611F0","22B:C34CB1E4EA1611F0"
,Parent,,,
,,Position,Position,Position
Frame,Time (Seconds),X,Y,Z
173,1.441667,31.660810,123.193520,239.249100
174,1.450000,31.661819,123.187187,239.245377
175,1.458333,31.655937,123.191292,239.247406
176,1.466667,31.661757,123.197090,239.250122
177,1.475000,31.662296,123.202759,239.245605
178,1.483333,31.661749,123.205818,239.243317
179,1.491667,31.656374,123.207642,239.249237
180,1.500000,31.655502,123.212471,239.248627
181,1.508333,31.656429,123.210838,239.241302
182,1.516667,31.658363,123.189384,239.246719
183,1.525000,31.662867,123.192078,239.242798
184,1.533333,31.663057,123.208893,239.235870
185,1.541667,31.658533,123.197105,239.246735
186,1.550000,31.662554,123.200890,239.236206
187,1.558333,31.658646,123.207436,239.242950
188,1.566667,31.655207,123.207664,239.252594
189,1.575000,31.660271,123.232796,239.240845
190,1.583333,31.663086,123.214851,239.242462
191,1.591667,31.660780,123.217796,239.228683
192,1.600000,31.660006,123.213921,239.237793
193,1.608333,31.657473,123.195267,239.247269
194,1.616667,31.655565,123.219200,239.230286
195,1.625000,31.659674,123.203674,239.237732
196,1.633333,31.658333,123.191040,239.248596
197,1.641667,31.660210,123.209160,239.249542
198,1.650000,31.660114,123.213058,239.242569
199,1.658333,31.658997,123.211067,239.240356
200,1.666667,31.661064,123.225815,239.225388
201,1.675000,31.658989,123.218765,239.245132
202,1.683333,31.656046,123.207802,239.244171
203,1.691667,31.660357,123.194901,239.244202
204,1.700000,31.658627,123.197021,239.246567
205,1.708333,31.655218,123.204269,239.247299
206,1.716667,31.657864,123.203926,239.254044
207,1.725000,31.662334,123.209373,239.242340
208,1.733333,31.658672,123.205971,239.242004
209,1.741667,31.656898,123.215790,239.239044
210,1.750000,31.661175,123.221024,239.240341
211,1.758333,31.656672,123.202774,239.250198
212,1.766667,31.659920,123.185081,239.248032
213,1.775000,31.658955,123.193893,239.241989
214,1.783333,31.660299,123.186996,239.250290
215,1.791667,31.658821,123.199158,239.243958
216,1.800000,31.657249,123.208176,239.243622
217,1.808333,31.655941,123.185776,239.247421
218,1.816667,31.656672,123.190262,239.255875
219,1.825000,31.655569,123.196571,239.257126
220,1.833333,31.655170,123.182289,239.261200
221,1.841667,31.658985,123.192841,239.242493
222,1.850000,31.654303,123.191635,239.245575
223,1.858333,31.661854,123.189209,239.252991
224,1.866667,31.662277,123.210892,239.241501
225,1.875000,31.661234,123.191956,239.254425
226,1.883333,31.662680,123.203804,239.243393
227,1.891667,31.663683,123.208023,239.242996
228,1.900000,31.659231,123.218880,239.241165
229,1.908333,31.658009,123.208267,239.244125
230,1.916667,31.660595,123.207962,239.236801
231,1.925000,31.656719,123.190582,239.252441
232,1.933333,31.663612,123.212799,239.242920
233,1.941667,31.656317,123.194389,239.247437
234,1.950000,31.654886,123.196320,239.233368
235,1.958333,31.658064,123.214058,239.233658
236,1.966667,31.661831,123.199509,239.249771
237,1.975000,31.659920,123.207535,239.248108
238,1.983333,31.664032,123.210403,239.241608
239,1.991667,31.664513,123.214882,239.236786
240,2.000000,31.666353,123.213554,239.245148
241,2.008333,31.656351,123.208504,239.245087
242,2.016667,31.661566,123.196991,239.245239
243,2.025000,31.661636,123.210121,239.243546
244,2.033333,31.660233,123.195198,239.246414
245,2.041667,31.656061,123.198196,239.247742
246,2.050000,31.658134,123.194054,239.245102
247,2.058333,31.656176,123.209030,239.231613
248,2.066667,31.656805,123.209236,239.244934
249,2.075000,31.661394,123.205482,239.252182
250,2.083333,31.661545,123.218048,239.237473
251,2.091667,31.662281,123.217186,239.235443
252,2.100000,31.657394,123.204910,239.244232
253,2.108333,31.662655,123.206841,239.249023
254,2.116667,31.655718,123.208778,239.241425
255,2.125000,31.657431,123.193535,239.245438
256,2.133333,31.662445,123.192947,239.246124
257,2.141667,31.667780,123.204391,239.246017
258,2.150000,31.660706,123.213509,239.239273
259,2.158333,31.658001,123.197800,239.246201
260,2.166667,31.657427,123.201492,239.240540
261,2.175000,31.654835,123.208595,239.247040
262,2.183333,31.660440,123.196960,239.246399
263,2.191667,31.657887,123.195404,239.243759
264,2.200000,31.654310,123.181442,239.247070
265,2.208333,31.660326,123.208626,239.237595
266,2.216667,31.659290,123.199265,239.246307
267,2.225000,31.658224,123.211067,239.230820
268,2.233333,31.657833,123.204041,239.238525
269,2.241667,31.651896,123.182877,239.261536
270,2.250000,31.655226,123.193375,239.256149
271,2.258333,31.652920,123.195076,239.249893
272,2.266667,31.661142,123.196266,239.240158
273,2.275000,31.660255,123.199928,239.246643
274,2.283333,31.657164,123.192986,239.248489
275,2.291667,31.652243,123.199989,239.241013
276,2.300000,31.662092,123.198166,239.240372
277,2.308333,31.658728,123.185379,239.252899
278,2.316667,31.655260,123.204590,239.248123
279,2.325000,31.657282,123.197372,239.247986
280,2.333333,31.655420,123.197716,239.243347
281,2.341667,31.659935,123.204712,239.243469
282,2.350000,31.657383,123.200989,239.246170
283,2.358333,31.659752,123.217285,239.239029
284,2.366667,31.657007,123.203041,239.236374
285,2.375000,31.658520,123.205574,239.235733
286,2.383333,31.659971,123.189796,239.250519
